id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15
1,2,2,4,5,4,1,2,2,4,5,3,5,1,2,5
2,2,4,4,1,1,3,4,3,1,1,4,5,5,3,4
3,2,2,2,1,2,4,2,5,4,3,1,3,2,3,4
4,1,5,1,5,5,1,2,1,5,3,2,1,3,2,2
5,5,1,2,5,5,3,5,4,2,1,2,1,5,5,2
6,1,3,5,2,5,1,4,3,3,1,3,2,4,2,1
7,4,3,4,4,1,4,2,3,1,1,2,1,2,3,5
8,3,5,1,4,1,4,4,1,1,3,1,3,4,2,5
9,1,3,5,2,5,1,3,1,3,5,4,4,3,4,1
10,1,1,4,2,2,2,2,1,3,5,4,2,4,5,2
11,2,3,2,3,3,5,1,1,1,3,2,5,4,4,4
12,1,5,2,2,5,5,1,1,2,5,5,4,3,4,1
13,5,5,5,3,4,5,1,5,3,1,5,3,2,4,1
14,3,5,3,5,3,4,4,3,3,5,2,5,5,1,4
15,3,2,5,5,4,4,4,3,4,4,2,2,5,4,1
16,4,3,2,3,3,1,4,4,3,1,2,4,3,5,5
17,5,1,3,1,3,4,3,2,4,3,4,5,3,5,5
18,2,3,5,2,2,1,3,1,2,4,1,2,3,4,3
19,4,4,1,1,2,3,2,1,1,1,2,5,1,4,2
20,5,1,4,1,3,3,5,2,1,1,3,1,5,2,2
21,2,5,2,5,2,1,1,3,4,1,1,4,2,1,3
22,1,4,2,5,1,2,3,2,1,2,5,4,2,1,5
23,4,5,1,1,5,4,4,3,4,2,5,3,1,5,4
24,3,1,3,4,2,2,3,2,1,2,2,3,3,5,3
25,3,3,1,4,1,5,5,4,2,2,1,4,5,4,4
26,1,4,2,3,1,1,2,4,4,2,1,5,5,1,4
27,1,2,1,4,5,5,5,4,5,4,1,5,4,2,3
28,4,5,2,4,2,1,2,3,1,1,4,1,4,4,4
29,1,3,1,1,4,5,4,3,3,1,2,2,1,1,1
30,5,2,1,5,4,2,3,3,1,3,1,2,5,5,5
31,4,3,5,4,1,1,4,4,1,1,1,1,3,5,3
32,5,4,3,4,4,3,4,4,2,3,3,5,2,3,2
33,5,1,5,1,3,4,2,4,1,1,2,4,2,5,4
34,4,3,5,2,2,1,2,3,5,3,2,4,1,4,2
35,3,1,5,5,5,5,1,5,1,5,4,5,3,3,1
36,3,4,1,5,5,2,3,2,2,4,4,1,1,3,5
37,2,1,3,4,2,4,5,5,5,5,4,3,3,3,2
38,1,2,2,3,2,2,2,3,5,3,4,1,1,4,5
39,3,3,5,1,1,1,3,2,1,4,3,5,4,2,4
40,2,4,3,5,2,5,1,2,2,4,1,4,4,1,4
41,5,2,2,3,2,3,2,1,2,4,5,4,2,5,1
42,4,2,1,4,4,2,3,2,2,5,2,5,1,3,1
43,2,4,2,3,2,5,2,1,4,4,2,3,3,2,2
44,1,1,5,4,4,4,3,3,1,3,2,5,4,5,2
45,4,4,5,5,5,4,5,3,1,5,1,1,1,1,3
46,4,5,5,5,5,5,5,4,3,5,3,2,3,1,3
47,1,5,4,5,2,5,4,3,1,4,2,1,5,4,4
48,3,4,2,1,4,3,1,3,5,5,4,5,1,5,3
49,3,1,3,2,1,1,5,5,2,2,1,1,2,2,1
50,1,3,2,2,5,5,1,4,4,3,2,4,5,1,2
51,5,4,3,2,2,4,5,2,2,5,5,5,4,2,2
